name,url,category,sources,valid,http_status,error
AssemblyAI (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCtatfZMf-8EkIwASXM4ts0A,video,github,YES,200,
Avra (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCDMP6ATYKNXMvn2ok1gfM7Q,video,github,YES,200,
code_your_own_AI (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCfOvNb3xj28SNqPQ_JIbumg,video,github,YES,200,
Data Independent (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCyR2Ct3pDOeZSRyZH5hPO-Q,video,github,YES,200,
David Shapiro ~ AI (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCvKRFNawVcuz4b9ihUTApCg,video,github,YES,200,
DeepMind (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCP7jMXSY2xbc3KCAE0MHQ-A,video,github,YES,200,
Edan Meyer (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UC66Ggxy8MHX9DCDohdRYDTA,video,github,YES,200,
Full Stack Deep Learning (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCVchfoB65aVtQiDITbGq2LQ,video,github,YES,200,
H2O.ai (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCk6ONJlPzjw3DohAeMSgsng,video,github,YES,200,
IBM Research (YT),https://www.youtube.com/feeds/videos.xml?channel_id=UCwx7Y3W30N8aS_tiCy2x-2g,video,github,YES,200,
